customer_city,lon,lat
Belo Horizonte,-43.93778,-19.92083
Pocos de Caldas,-46.56139,-21.78778
Sao Jose dos Campos,-45.88694,-23.17944
Ribeirao Preto,-47.81028,-21.1775
RIO DE JANEIRO,-43.2075,-22.90278
Sao Paulo,-46.63611,-23.5475
Floresta,-38.56861,-8.60111
SAO PAULO,-46.63611,-23.5475
Juquitiba,-47.06833,-23.93167
Salvador,-38.51083,-12.97111
Nova Iguacu,-43.45111,-22.75917
Fortaleza,-38.54306,-3.71722
Vitoria de Santo Antao,-35.29139,-8.11806
Praia Grande,-46.40278,-24.00583
Vila Velha,-40.2925,-20.32972
Bauru,-49.06056,-22.31472
Foz do Iguacu,-54.58806,-25.54778
Itaquaquecetuba,-46.34833,-23.48611
Sao Goncalo do Amarante,-35.32944,-5.79333
Sao Bernardo do Campo,-46.565,-23.69389
Guaruja,-46.25639,-23.99306
Sapucaia do Sul,-51.15527,-29.81826
Sao Joaquim da Barra,-47.85472,-20.58139
Angra dos Reis,-44.31806,-23.00667
Jatai,-51.71444,-17.88139
Guarulhos,-46.53333,-23.46278
Mirassol,-49.50879,-20.84158
Porto Feliz,-47.52389,-23.21472
Itabuna,-39.28028,-14.78556
Paraiso do Norte,-52.63634,-23.2541
Feira de Santana,-38.96667,-12.26667
Sertaozinho,-47.99028,-21.13778
Sao Sebastiao,-45.40972,-23.76
Mogi-Guacu,-46.94222,-22.37222
Contagem,-44.05361,-19.93167
Paranagua,-48.51992,-25.51944
Barbacena,-43.77361,-21.22583
Itatiba,-46.83889,-23.00583
Quatro Barras,-49.07694,-25.36556
Monte Alto,-48.49639,-21.26111
BRASILIA,-47.75,-15.75
Moreno,-35.09222,-8.11861
Sorocaba,-47.45806,-23.50167
Montes Claros,-43.86167,-16.735
Mogi das Cruzes,-46.18833,-23.52278
Campinas,-47.06083,-22.90556
Santa Rita de Caldas,-46.27369,-22.01936
Sao Joao dos Patos,-43.70222,-6.495
Sinop,-55.5025,-11.86417
Taubate,-45.55528,-23.02639
Porto Alegre,-51.23,-30.03306
Macae,-41.78694,-22.37083
Rio Verde,-51.04215,-17.71888
Campo Grande,-36.75593,-9.94997
Recife,-34.88111,-8.05389
Piumhii,-44,-18
Sao Joao de Meriti,-43.37222,-22.80389
Francisco Morato,-46.74528,-23.28167
Belem,-48.50444,-1.45583
Piracicaba,-47.64917,-22.72528
Uberlandia,-48.27722,-18.91861
Sao Carlos,-53.03549,-27.0445
Vicosa,-42.88194,-20.75389
Goiania,-49.25389,-16.67861
Florianopolis,-48.54917,-27.59667
Aracaju,-37.07167,-10.91111
Esteio,-51.17917,-29.86139
Sao Jose do Turvo,-44.01417,-22.36306
Jau,-48.55778,-22.29639
Pinheiral,-44.00056,-22.51278
Gurupi,-49.06861,-11.72917
Barra Mansa,-44.17139,-22.54417
Palmeira,-50.00639,-25.42944
Maracas,-40.43083,-13.44111
Petrolina,-40.50083,-9.39861
Duque de Caxias,-43.31167,-22.78556
Cachoeira Paulista,-44.99229,-22.70115
Pontal,-48.03722,-21.0225
Araxa,-46.94056,-19.59333
Laurentino,-49.73411,-27.20853
Sao Carlos,-47.89083,-22.0175
Lages,-50.32611,-27.81611
Cachoeiro de Itapemirim,-41.11278,-20.84889
PIRAPO,-51.53667,-23.56
Bertioga,-46.13861,-23.85444
Maua,-46.46139,-23.66778
Porangatu,-49.14861,-13.44083
Araraquara,-48.17556,-21.79444
Sarzedo,-44.14472,-20.03528
Jacarei,-45.96583,-23.30528
Catu de Abrantes,-38.26639,-12.82972
Barrolandia,-48.83437,-9.84999
Joao Pessoa,-34.86306,-7.115
Minacu,-48.3878,-13.42682
Itajuba,-45.45278,-22.42556
Quata,-50.69833,-22.2475
Pirapora,-44.94194,-17.345
Rio das Ostras,-41.945,-22.52694
Casimiro de Abreu,-42.20417,-22.48056
Muriae,-42.36639,-21.13056
Itapetim,-37.13113,-7.39642
Bom Sucesso,-44.75806,-21.03306
Camocim,-40.84111,-2.90222
Castro,-50.01194,-24.79111
Farroupilha,-51.34778,-29.225
Olinda,-34.85528,-8.00889
Pirassununga,-47.42583,-21.99611
Pelotas,-52.3425,-31.77194
Cachoeira do Sul,-52.89389,-30.03917
Sao Pedro da Aldeia,-42.10278,-22.83917
